"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"131","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2045,"Zirconium","installation_demand","kt",0.00246608965725346
"132","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2050,"Zirconium","installation_demand","kt",0.00441051161337752
"133","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2055,"Zirconium","installation_demand","kt",0.0042208941846839
"134","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2060,"Zirconium","installation_demand","kt",0.00400292102837863
"135","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2065,"Zirconium","installation_demand","kt",0.00444078907018564
"136","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2070,"Zirconium","installation_demand","kt",0.00480732824851966
"137","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2075,"Zirconium","installation_demand","kt",0.00490006190421284
"138","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2080,"Zirconium","installation_demand","kt",0.0064179621983601
"139","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2085,"Zirconium","installation_demand","kt",0.00498717347980999
"140","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2090,"Zirconium","installation_demand","kt",0.0043127078636341
"141","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2095,"Zirconium","installation_demand","kt",0.00489842639000308
"142","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - PWR modular",2100,"Zirconium","installation_demand","kt",0.00493428503905199
"143","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2035,"Copper","installation_demand","kt",0.0676510008938084
"144","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2040,"Copper","installation_demand","kt",0.0900105245339398
"145","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2045,"Copper","installation_demand","kt",0.109092886576272
"146","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2050,"Copper","installation_demand","kt",0.206181098852932
"147","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2055,"Copper","installation_demand","kt",0.20581378961999
"148","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2060,"Copper","installation_demand","kt",0.199622686871809
"149","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2065,"Copper","installation_demand","kt",0.224568367356118
"150","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2070,"Copper","installation_demand","kt",0.245539066846464
"151","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2075,"Copper","installation_demand","kt",0.25216153646747
"152","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2080,"Copper","installation_demand","kt",0.332070716363402
"153","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2085,"Copper","installation_demand","kt",0.25933326627725
"154","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2090,"Copper","installation_demand","kt",0.224839590129236
"155","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2095,"Copper","installation_demand","kt",0.255782156049318
"156","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - SFR",2100,"Copper","installation_demand","kt",0.258262685934114
"157","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2030,"Copper","installation_demand","kt",0.313633019505416
"158","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2030,"Zirconium","installation_demand","kt",0.0078408254876354
"159","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2035,"Copper","installation_demand","kt",0.550223097767496
"160","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2035,"Zirconium","installation_demand","kt",0.0137555774441874
"161","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2040,"Copper","installation_demand","kt",1.07680892641849
"162","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2040,"Zirconium","installation_demand","kt",0.0269202231604622
"163","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2045,"Copper","installation_demand","kt",1.25985022506038
"164","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2045,"Zirconium","installation_demand","kt",0.0314962556265096
"165","USA","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv.","Nuclear - Large - PWR",2050,"Copper","installation_demand","kt",2.38282835469178
